TAG_ID,SERIAL_NUMBER,AGENT_ID,AGENT_NAME,VEHICLE_CLASS,SUPERVISOR_NAME
TAG600101,SRN882001,AG101,Rahul Sharma,VC4,Vikas Meena
TAG600102,SRN882002,AG101,Rahul Sharma,VC4,Vikas Meena
TAG600103,SRN882003,AG102,Amit Verma,VC5,Vikas Meena
TAG600104,SRN882004,AG102,Amit Verma,VC4,Vikas Meena
TAG600105,SRN882005,AG103,Suresh Kumar,VC7,Sunil Yadav
TAG600106,SRN882006,AG103,Suresh Kumar,VC4,Sunil Yadav
TAG600107,SRN882007,AG104,Pooja Singh,VC4,Sunil Yadav
TAG600108,SRN882008,AG104,Pooja Singh,VC6,Sunil Yadav
TAG600109,SRN882009,AG105,Manoj Gurjar,VC4,Vikas Meena
TAG600110,SRN882010,AG105,Manoj Gurjar,VC4,Vikas Meena
